name,latitude,longitude,postcode,chargeDeviceStatus,deviceControllerName
Croydon Fire Station,51.369072,-0.105199,CR0 1AR,In service,Chargemaster (POLAR)
East Ham Fire Station,51.523441,0.057317,E6 3RS,In service,Chargemaster (POLAR)
Edmonton Fire Station,51.627292,-0.068987,N9 9AA,In service,Chargemaster (POLAR)
Finchley Fire Station,51.597946,-0.179289,N3 2RP,In service,Chargemaster (POLAR)
Hainault Fire Station,51.605946,0.104333,IG6 3DY,In service,Chargemaster (POLAR)
Harold Hill Fire Station,51.598294,0.224255,RM3 8UR,In service,Chargemaster (POLAR)
Hornsey Fire Station,51.585595,-0.127275,N8 8LS,In service,Chargemaster (POLAR)
Ilford Fire Station,51.562397,0.089895,IG1 1UE,In service,Chargemaster (POLAR)
New Malden Fire Station,51.399071,-0.245702,KT3 4RW,In service,Chargemaster (POLAR)
Accrington Town Hall,53.753189,-2.365649,BB5 1EW,In service,Chargemaster (POLAR)
Wiltshire County Council Hall 1,51.31722,-2.210649,BA14 8JN,In service,Chargemaster (POLAR)
Wiltshire County Council Hall 2,51.31722,-2.210649,BA14 8JN,In service,Chargemaster (POLAR)
Wiltshire County Council Hall 3 ,51.31722,-2.210649,BA14 8JN,In service,Chargemaster (POLAR)
Wiltshire County Council Hall 4,51.31722,-2.210649,BA14 8JN,In service,Chargemaster (POLAR)
Wiltshire County Council Hall 5,51.31722,-2.210649,BA14 8JN,In service,Chargemaster (POLAR)
Borough Fields Car Park,51.542412,-1.9051,SN4 7AX,In service,Chargemaster (POLAR)
Monkton Park Car Park,51.461675,-2.113047,SN15 1ER,In service,Chargemaster (POLAR)
Monkton Park Car Park,51.461548,-2.112661,SN15 1ER,In service,Chargemaster (POLAR)
Five Rivers Leisure Centre 1,51.078536,-1.803527,SP1 3NR,In service,Chargemaster (POLAR)
Five Rivers Leisure Centre 2,51.078536,-1.803527,SP1 3NR,In service,Chargemaster (POLAR)
Five Rivers Leisure Centre 3,51.078536,-1.803527,SP1 3NR,In service,Chargemaster (POLAR)
Five Rivers Leisure Centre 4,51.078536,-1.803527,SP1 3NR,In service,Chargemaster (POLAR)
Tisbury Campus,51.066828,-2.083279,SP3 6HJ,In service,Chargemaster (POLAR)
Corsham Springfield Campus,51.43255,-2.193112,SN13 9DN,In service,Chargemaster (POLAR)
Corsham Springfield Campus,51.43255,-2.193112,SN13 9DN,In service,Chargemaster (POLAR)
Amesbury Central,51.171563,-1.780476,SP4 7JE,In service,Chargemaster (POLAR)
Westbury Car Park,51.261047,-2.184438,BA13 3BW,In service,Chargemaster (POLAR)
Station Road Car Park,51.352268,-1.998492,SN10 1BZ,In service,Chargemaster (POLAR)
London Road Car Park,51.086136,-1.774669,SP1 3HP,In service,Chargemaster (POLAR)
Public estate,,0,20:00,Type 2 Mennekes (IEC62196),0
Britford,51.049436,-1.777814,SP5 4DS,In service,Chargemaster (POLAR)
Peters Finger Road,51.062152,-1.768635,SP5 3BZ,In service,Chargemaster (POLAR)
Public estate,,0,20:00,Type 2 Mennekes (IEC62196),0
"Sadlers Mead, Chippenham",51.461294,-2.111245,SN15 3PA,In service,Chargemaster (POLAR)
Bourne Hill,51.072337,-1.79105,SP1 3UZ,In service,Chargemaster (POLAR)
Wray Lane Car Park,51.256226,-0.191868,RH2 0HX,In service,Charge Your Car
Ashburnham Road 2,52.135117,-0.477655,MK40 1DQ,In service,Chargemaster (POLAR)
Ashburnham Road 1,52.135112,-0.477757,MK40 1DQ,In service,Chargemaster (POLAR)
St Johns Street,52.115619,-0.499514,MK42 8EP,In service,Chargemaster (POLAR)
Bedford Road,52.12022,-0.491802,MK42 8DH,In service,Chargemaster (POLAR)
Borough Hall,52.13189,-0.470083,MK42 9AP,In service,Chargemaster (POLAR)
St Peters Car Park,52.139787,-0.461884,MK40 2PR,In service,Chargemaster (POLAR)
De Parys Avenue,52.139559,-0.466837,MK40 2TX,In service,Chargemaster (POLAR)
Shuttleworth,52.08511,-0.326005,SG18 9DX,In service,Chargemaster (POLAR)
Main Campus,52.132704,-0.467712,MK42 9AH,In service,Chargemaster (POLAR)
Priory House,52.035301,-0.362286,SG17 5TQ,In service,Chargemaster (POLAR)
Watling House,51.892784,-0.530821,LU6 1LF,In service,Chargemaster (POLAR)
Grove Park,51.891248,-0.520936,LU5 4JD,In service,Chargemaster (POLAR)
Hockliffe Street,51.916624,-0.659172,LU71HJ,In service,Chargemaster (POLAR)
"West Street, Leighton Buzzard",51.916978,-0.662332,LU7 1EU,In service,Chargemaster (POLAR)
The Forest of Marston Vale,52.06514,-0.536104,MK43 0PR,In service,Chargemaster (POLAR)
Incuba ,51.892097,-0.534896,LU6 1AA,In service,Chargemaster (POLAR)
Crayford & Abbs,52.918088,1.153034,NR25 6QJ,In service,Chargemaster (POLAR)
Kings Lynn Campus,52.757043,0.40939,PE30 2QW,In service,Chargemaster (POLAR)
Croxley Green Business Park ,51.645881,-0.429583,WD18 8YR,In service,Chargemaster (POLAR)
Sandon Park & Ride,51.720907,0.525936,CM2 7RU,In service,Chargemaster (POLAR)
Chelmer Valley Park & Ride,51.778799,0.489137,CM3 3PR,In service,Chargemaster (POLAR)
"The Forum Trust, Norwich 2",52.628075,1.290482,NR2 1NR,In service,Chargemaster (POLAR)
"The Forum Trust, Norwich 1",52.628075,1.290482,NR2 1NR,In service,Chargemaster (POLAR)
GM Gate 1 visitors Car Park,51.875187,-0.39408,LU1 0TY,In service,Chargemaster (POLAR)
GM Griffin House Park Street Car Park,51.87415,-0.40523,LU1 3YT,In service,Chargemaster (POLAR)
Glyn Hopkins St Albans,51.751851,-0.275615,AL4 0QU,In service,Chargemaster (POLAR)
Glyn Hopkins Ipswich,52.067423,1.136183,IP1 4BP,In service,Chargemaster (POLAR)
Glyn Hopkins Watford,51.65034,-0.388483,WD17 2JJ,In service,Chargemaster (POLAR)
Glyn Hopkins helmsford,51.72897,0.453823,CM1 2UP,In service,Chargemaster (POLAR)
Glyn Hopkins Bishop Stortford,51.873766,0.158636,CM23 2ET,In service,Chargemaster (POLAR)
Howardsgate,51.802166,-0.207974,AL8 6AL,In service,Chargemaster (POLAR)
Town Hall,51.659823,-0.404711,WD17 3HA,In service,Chargemaster (POLAR)
Bushey Arches Watford,51.64668,-0.3841,WD19 4BL,In service,Chargemaster (POLAR)
Gade Car Park,51.657155,-0.401465,WD18 0JY,In service,Chargemaster (POLAR)
Durrants Hill Car Park,51.739254,-0.469849,HP3 9TG,In service,Chargemaster (POLAR)
Hall Place Gardens,51.756556,-0.334351,AL1 3SB,In service,Chargemaster (POLAR)
Upper Dagnall St,51.75234,-0.340132,AL3 5EE,In service,Chargemaster (POLAR)
Sutton Road Car Park,51.657759,-0.395623,WD17 2QG,In service,Chargemaster (POLAR)
Bowers Way Car Park,51.816801,-0.354339,AL5 4EP,In service,Chargemaster (POLAR)
Canal Fields,51.763452,-0.567842,HP4 2AL,In service,Chargemaster (POLAR)
Charter Close,51.753613,-0.335184,AL1 3UU,In service,Chargemaster (POLAR)
The Forge Car Park,51.794553,-0.659273,HP23 5SH,In service,Chargemaster (POLAR)
Longspring Car Park,51.677977,-0.397119,WD24 6PX,In service,Chargemaster (POLAR)
The Avenue Car Park,51.660637,-0.404264,WD17 4WP,In service,Chargemaster (POLAR)
Wood Lane End,51.751222,-0.474841,HP2 4SF,In service,Chargemaster (POLAR)
Water Gardens,51.751222,-0.474841,HP1 1EF,In service,Chargemaster (POLAR)
Harwich International Port Limited,51.947079,1.255268,CO12 4SR,In service,Chargemaster (POLAR)
"Larkenergy, Spitfire Park",52.685442,-0.323078,PE6 8GY,In service,Chargemaster (POLAR)
"Larkenergy, Bourne",52.758522,-0.368895,PE10 0FF,In service,Chargemaster (POLAR)
Vicarage Street,51.876763,-0.409431,LU1 3HZ,In service,Chargemaster (POLAR)
Stock wood Park Discovery Centre,51.867027,-0.422754,LU1 4LX,In service,Chargemaster (POLAR)
Basepoint Business Centre,51.911073,-0.388534,LU2 8DL,In service,Chargemaster (POLAR)
Alma Street,51.880367,-0.419555,LU1 2PL,In service,Chargemaster (POLAR)
Luton & Dunstable Hospital,51.89529,-0.474394,LU4 0DZ,In service,Chargemaster (POLAR)
Market Car Park The Mall,51.879845,-0.411717,LU1 2HN,In service,Chargemaster (POLAR)
Central Car Park The Mall,51.879834,-0.414105,LU1 2LJ,In service,Chargemaster (POLAR)
Motorbodies,51.87296,-0.389846,LU2 0TB,In service,Chargemaster (POLAR)
Motorbodies 2,51.87296,-0.389846,LU2 0TB,In service,Chargemaster (POLAR)
Fitzroy Court,51.877427,-0.408774,LU1 3HZ,In service,Chargemaster (POLAR)
Upper George Street,51.879738,-0.419869,LU12RD,In service,Chargemaster (POLAR)
Bute Street,51.880896,-0.412494,LU1 2NR,In service,Chargemaster (POLAR)
Norwich International Park & Ride,52.669566,1.27153,NR6 6JT,In service,Chargemaster (POLAR)
Norwich International Park & Ride 2,52.669588,1.271584,NR6 6JT,In service,Chargemaster (POLAR)
Harford Park & Ride 2,52.588747,1.272659,NR4 6DX,In service,Chargemaster (POLAR)
Harford Park & Ride 1,52.588765,1.272575,NR4 6DX,In service,Chargemaster (POLAR)
Endeavour House Car Park,52.053802,1.141805,IP1 2EB,In service,Chargemaster (POLAR)
West Suffolk House,52.251535,0.695392,IP33 3YU,In service,Chargemaster (POLAR)
Community Way Car Park,51.648885,-0.448392,WD3 3HB,In service,Chargemaster (POLAR)
Argent Street Car Park,51.4738,0.3218,RM17 6HR,In service,Chargemaster (POLAR)
West Road Car Park,51.5226,0.2946,RM15 6NH,In service,Chargemaster (POLAR)
Crown Road Car Park,51.4763,0.3266,RM17 6JD,In service,Chargemaster (POLAR)
Toomey Nissan,51.574383,0.396378,SS15 6RW,In service,Chargemaster (POLAR)
Toomey Nissan,51.575328,0.39736,SS15 6RW,In service,Chargemaster (POLAR)
University of East Anglia,52.622398,1.239646,NR4 7TJ,In service,Chargemaster (POLAR)
UH The Forum,51.749411,-0.242251,AL10 9AB,In service,Chargemaster (POLAR)
Wyboston Lakes,52.201768,-0.291857,MK44 3BA,In service,Chargemaster (POLAR)
Newmarket Racecourse 1,52.236633,0.37619,CB8 0TF,In service,Chargemaster (POLAR)
Newmarket Racecourse 2,52.236624,0.376199,CB8 0TF,In service,Chargemaster (POLAR)
Huntingdon Racecourse 1,52.335851,-0.229611,PE28 4NL,In service,Chargemaster (POLAR)
Huntingdon Racecourse 2,52.335845,-0.229617,PE28 4NL,In service,Chargemaster (POLAR)
Waitrose Ipswich 1,52.034329,1.203293,IP3 9SQ,In service,Chargemaster (POLAR)
Waitrose Ipswich 2,52.034341,1.203334,IP3 9SQ,In service,Chargemaster (POLAR)
Waitrose North Walsham,52.828559,1.366476,NR28 0NB,In service,Chargemaster (POLAR)
Waitrose Welwyn Garden City 1,51.80342,-0.20299,AL8 6AB,In service,Chargemaster (POLAR)
Waitrose Welwyn Garden City 2,51.803292,-0.203077,AL8 6AB,In service,Chargemaster (POLAR)
Waitrose Bury St. Edmunds 1,52.244288,0.708895,IP33 3DH,In service,Chargemaster (POLAR)
Waitrose Bury St. Edmunds 2,52.24422,0.708915,IP33 3DH,In service,Chargemaster (POLAR)
Waitrose Colchester 1,51.893124,0.918177,CO4 3BE,In service,Chargemaster (POLAR)
Waitrose Colchester 2,51.893178,0.918164,CO4 3BE,In service,Chargemaster (POLAR)
Waitrose St Albans 1,51.745876,-0.360045,AL3 4JZ,In service,Chargemaster (POLAR)
Waitrose St Albans 2,51.745853,-0.360012,AL3 4JZ,In service,Chargemaster (POLAR)
Waitrose Hitchin 1,51.950083,-0.282723,SG5 1HF,In service,Chargemaster (POLAR)
Waitrose Hitchin 2,51.950067,-0.282671,SG5 1HF,In service,Chargemaster (POLAR)
Lancaster Toyota Cambridge,52.195929,0.169699,CB1 3LN,In service,Chargemaster (POLAR)
Lancaster Toyota Ipswich,52.026602,1.207584,IP3 9SS,In service,Chargemaster (POLAR)
Steven Eagell Toyota St.Albans,51.714451,-0.33315,AL22JZ,In service,Chargemaster (POLAR)
Dingles Toyota Norwich,52.667075,1.274258,NR6 6BB,In service,Chargemaster (POLAR)
North Herts Toyota Letchworth,51.983818,-0.221896,SG6 1EF,In service,Chargemaster (POLAR)
Wests Nissan,52.739118,0.415545,PE30 4LP,In service,Chargemaster (POLAR)
Old Station Way,52.038788,-0.335681,SG17 5ED,In service,Chargemaster (POLAR)
Forum Car Park,51.677944,-0.397104,SG1 1EZ,In service,Chargemaster (POLAR)
Primett Road South Car Park,51.910176,-0.208925,SG1 3EE,In service,Chargemaster (POLAR)
North Herts College,51.897337,-0.199329,SG1 1LA,In service,Chargemaster (POLAR)
Martlesham Park & Ride,52.070831,1.26748,IP5 3QX,In service,Chargemaster (POLAR)
London Road Park & Ride,52.041019,1.09656,IP8 3TQ,In service,Chargemaster (POLAR)
Timberlake Car Park,51.665634,-0.386127,WD24 4JL,In service,Chargemaster (POLAR)
The Common,51.764511,-0.226671,AL10 0NL,In service,Chargemaster (POLAR)
Queen Anne Terrace,52.200852,0.130347,CB1 1ND,In service,Chargemaster (POLAR)
"Kennet Centre Multi-Storey Car Park, Bartholomew Street, RG14 5EN",51.40002,-1.324062,rg14 5EN,In service,Chargemaster (POLAR)
Central Bedfordshire Council,51.888487,-0.513652,LU5 4HU,In service,Chargemaster (POLAR)
"Victoria Rd Car Park, Horley",51.171391,-0.165346,RH6 7AS,In service,Charge Your Car
Reigate Town Hall Main Car Park,51.238931,-0.205068,RH2 0SH,In service,Charge Your Car
Derker - Metrolink Park and Ride Station ,53.549367,-2.100992,OL1 4AB,In service,Charge Your Car
Derker - Metrolink Park and Ride Station ,53.549367,-2.100992,OL1 4AB,Out of service,Charge Your Car
Rochdale - Metrolink Park and Ride Station,53.562253,-2.321443,M26 2ST,In service,Charge Your Car
Rochdale - Metrolink Park and Ride Station,53.562253,-2.321443,M26 2ST,In service,Charge Your Car
Manchester Central (GMEX) ,53.475385,-2.247578,M2 3GX,In service,Charge Your Car
Manchester Central (GMEX) ,53.475385,-2.247578,M2 3GX,In service,Charge Your Car
Hobson Street Car Park ,53.538822,-2.112525,OL1 1DJ,In service,Charge Your Car
Oldham Civic Centre Car Park ,53.542674,-2.116911,OL1 1UT,In service,Charge Your Car
Trafford New Town Hall ,53.4606,-2.287148,M16 0GW,In service,Charge Your Car
Deane Road - NCP Car Park ,53.57525,-2.43839,BL3 5DX,In service,Charge Your Car
Deane Road - NCP Car Park ,53.57525,-2.43839,BL3 5DX,In service,Charge Your Car
Deane Road - NCP Car Park ,53.57525,-2.43839,BL3 5DX,In service,Charge Your Car
Octagon Theatrre - NCP Car Park,53.576351,-2.430073,BL1 1TN,In service,Charge Your Car
Octagon Theatrre - NCP Car Park,53.576351,-2.430073,BL1 1TN,Out of service,Charge Your Car
Octagon Theatrre - NCP Car Park,53.576351,-2.430073,BL1 1TN,In service,Charge Your Car
Topp Way - NCP Car Park,53.58222,-2.43283,BL1 2DJ,In service,Charge Your Car
Topp Way - NCP Car Park,53.58222,-2.43283,BL1 2DJ,In service,Charge Your Car
Topp Way - NCP Car Park,53.58222,-2.43283,BL1 2DJ,In service,Charge Your Car
Trafford Centre - Main Parking Garage,53.464951,-2.344868,M17 8AA,In service,Charge Your Car
Trafford Centre - Main Parking Garage,53.464951,-2.344868,M17 8AA,In service,Charge Your Car
Trafford Centre - Main Parking Garage,53.464951,-2.344868,M17 8AA,In service,Charge Your Car
Trafford Centre - Regent 13 Car Park ,53.465385,-2.353065,M17 8AA,In service,Charge Your Car
Trafford Centre - Regent 13 Car Park ,53.465385,-2.353065,M17 8AA,In service,Charge Your Car
Trafford Centre - Regent 13 Car Park ,53.465385,-2.353065,M17 8AA,In service,Charge Your Car
Salford University - Newton Building,53.485499,-2.271312,M5 4WU,In service,Charge Your Car
Salford University - Erwell Place Car Park,53.483126,-2.271312,M5 4WT,In service,Charge Your Car
Salford University - Frederick Road Car Park,53.489167,-2.278991,M6 5RL,In service,Charge Your Car
MMU - Cambridge Quad,53.469243,-2.240341,M15 6TT,In service,Charge Your Car
Church Street - NCP Car Park ,53.483399,-2.235825,M4 1LQ,In service,Charge Your Car
Church Street - NCP Car Park ,53.483399,-2.235825,M4 1LQ,In service,Charge Your Car
Church Street - NCP Car Park ,53.483399,-2.235825,M4 1LQ,In service,Charge Your Car
Great Northern City - NCP Car Park ,53.4769,-2.249651,M3 4EJ,In service,Charge Your Car
Great Northern City - NCP Car Park ,53.4769,-2.249651,M3 4EJ,In service,Charge Your Car
Great Northern City - NCP Car Park ,53.4769,-2.249651,M3 4EJ,In service,Charge Your Car
The Grand - NCP Car Park ,53.479736,-2.234103,M1 3AY,In service,Charge Your Car
The Grand - NCP Car Park ,53.479736,-2.234103,M1 3AY,In service,Charge Your Car
The Grand - NCP Car Park ,53.479736,-2.234103,M1 3AY,In service,Charge Your Car
Manchester Metropolitan University - Science Building (Entryway),53.471409,-2.240173,M15 6BH,In service,Charge Your Car
NHS - University Hospitals Foundation Trust,53.459386,-2.221593,M13 0FH,In service,Charge Your Car
"The Castle, Boldon Street",53.593696,-2.299759,BL9 0EZ,In service,Charge Your Car
Foundry Street,53.592273,-2.290292,BL9 7AZ,In service,Charge Your Car
Trinity Street,53.589604,-2.293536,BL9 0BL,In service,Charge Your Car
Parson Lane North,53.595598,-2.293986,BL9 0LY,In service,Charge Your Car
Market Bury,53.590737,-2.293408,BL9 0EQ,In service,Charge Your Car
Ramsbottom Car Park,53.647188,-2.317429,BL0 9YQ,In service,Charge Your Car
Prestwich Car Park ,53.534231,-2.283665,M25 1BT,In service,Charge Your Car
Westhoughton Car Park,53.549079,-2.519034,BL5 3DG,In service,Charge Your Car
Wright Street Car Park,53.59975,-2.54712,BL6 7HX,In service,Charge Your Car
Store Street (City Centre),53.479179,-2.228218,M1 2WA,In service,Charge Your Car
Hulme Street (City Centre),53.471863,-2.244521,M1 5GG,In service,Charge Your Car
Oswald Road,53.446002,-2.280078,M21 9QD,In service,Charge Your Car
Corkland Road,53.441021,-2.27294,M21 8UW ,In service,Charge Your Car
Egerton Road,53.439902,-2.218197,M14 6XH,In service,Charge Your Car
Phoenix Way,53.464171,-2.248346,M15 5EU,In service,Charge Your Car
Greenpark Road,53.406931,-2.26317,M22 4DN,In service,Charge Your Car
Ardwick Sports Hall,53.464504,-2.212614,M12 4DY,In service,Charge Your Car
Heaton Park,53.536552,-2.242865,M9 0TZ,In service,Charge Your Car
Wenlock Way,53.468853,-2.198175,M12 5DH,In service,Charge Your Car
Waterloo Street (City Centre),53.476579,-2.239554,M1 6HX,In service,Charge Your Car
70 Port Street,53.482258,-2.231132,M1 2EG,In service,Charge Your Car
34 Laystall Street,53.481141,-2.227947,M1 2JZ,In service,Charge Your Car
Travis Street,53.475928,-2.228712,M1 2PZ,In service,Charge Your Car
Rock Street,53.542858,-2.111902,OL1 3AN,In service,Charge Your Car
Waterloo Street Car Park,53.54037,-2.107567,OL1 1EW,In service,Charge Your Car
George Street ,53.540517,-2.11606,OL1 1LP,In service,Charge Your Car
Croft Street Car Park,53.51585,-2.149638,M35 9FB,In service,Charge Your Car
Elliott Street Car Park,53.538551,-2.071513,OL4 3DH,In service,Charge Your Car
"Town Hall Car Park, Chadderton ",53.544942,-2.136559,OL9 6PS,In service,Charge Your Car
Westway Car Park,53.577894,-2.095186,OL2 8AB,In service,Charge Your Car
Rochdale Town Hall Car Park,53.615249,-2.158752,OL16 9SA,In service,Charge Your Car
Rochdale Town Hall Car Park,53.615249,-2.158752,OL16 9SA,In service,Charge Your Car
River Street,53.616317,-2.154816,OL16 1RT,In service,Charge Your Car
Middleton Arena Car Park,53.55044,-2.196193,M24 6AE,In service,Charge Your Car
Cleminson Street Car Park,53.484648,-2.258015,M3 6AY,In service,Charge Your Car
Salford Civic Centre Visitor Car Park,53.510495,-2.338588,M27 5AL,In service,Charge Your Car
Irlam & Cadishead Leisure Centre,53.442582,-2.422144,M44 6BR,In service,Charge Your Car
Corporation Road,53.482815,-2.340206,M30 0EW,In service,Charge Your Car
Stott Lane Car Park (Salford Royal Hospital),53.486295,-2.320175,M6 8DD,In service,Charge Your Car
Stott Lane Car Park (Salford Royal Hospital),53.486295,-2.320175,M6 8DD,In service,Charge Your Car
Walkden Gateway,53.524652,-2.397656,M28 3JW,In service,Charge Your Car
Broughton Hub,53.504843,-2.25871,M7 2BD,In service,Charge Your Car
Pendleton Town Centre,53.487846,-2.286247,M6 5FN,In service,Charge Your Car
Quay Street,53.483388,-2.252597,M3 5AQ,In service,Charge Your Car
Quay Street,53.483388,-2.252597,M3 5AQ,In service,Charge Your Car
Crescent House (lay-by) A6 Crescent,53.483265,-2.26958,M5 4PE,In service,Charge Your Car
Exchange Quay ,53.467308,-2.282616,M5 3EQ,In service,Charge Your Car
Edward Street,53.406025,-2.156893,SK1 3UR,In service,Charge Your Car
St. Petersgate,53.409965,-2.158367,SK1 1HL,In service,Charge Your Car
Churchgate Car Park,53.410609,-2.154428,SK1 1YD,In service,Charge Your Car
Meadway Park West,53.356054,-2.16377,SK7 2DG,In service,Charge Your Car
Heaton Lane Multi-storey Car Park,53.410229,-2.165766,SK4 1AQ,In service,Charge Your Car
Heaton Lane Multi-storey Car Park,53.410229,-2.165766,SK4 1AQ,In service,Charge Your Car
Heaton Lane Multi-storey Car Park,53.410229,-2.165766,SK4 1AQ,In service,Charge Your Car
Ashton Pools,53.488896,-2.097547,OL6 7AN,In service,Charge Your Car
Henrietta Street Car Park ,53.490375,-2.091764,OL6 6EF,Out of service,Charge Your Car
Lacy Street,53.445225,-2.307264,M32 8LR,In service,Charge Your Car
Flixton Street (Railway station car park),53.444148,-2.384144,M41 6EY,In service,Charge Your Car
Mona St Pay & Display (Wigan Town Centre),53.547289,-2.636995,WN1 1HZ,In service,Charge Your Car
Water St Pay & Display (Wigan Town Centre),53.548226,-2.628135,WN1 1YP,In service,Charge Your Car
Leigh Town Hall (Leigh),53.49758,-2.520719,WN7 1YA,In service,Charge Your Car
Church St Pay & Display (Leigh),53.497564,-2.514086,WN7 1AZ,In service,Charge Your Car
Lord Street Pay & Display (Leigh),53.496394,-2.514298,WN7 1DB,In service,Charge Your Car
Doctors Nook Pay & Display (Leigh),53.497923,-2.518387,WN7 1EQ,In service,Charge Your Car
Spinning Gate Pay & Display (Leigh),53.495428,-2.515221,WN7 4PD,In service,Charge Your Car
Hollinwood - Metrolink Park and Ride Station,53.519074,-2.147787,OL9 7AA,In service,Charge Your Car
East Didsbury - Metrolink Park and Ride,53.411841,-2.217629,M19 1RJ,In service,Charge Your Car
East Didsbury - Metrolink Park and Ride,53.411841,-2.217629,M19 1RJ,In service,Charge Your Car
East Didsbury - Metrolink Park and Ride,53.411841,-2.217629,M19 1RJ,In service,Charge Your Car
Dukinfield Town Hall,53.478333,-2.091745,SK16 4EB,In service,Charge Your Car
Rassbottom Street Car Park,53.484646,-2.062136,SK15 1RQ,In service,Charge Your Car
Housing Units of Hollinwood,53.517136,-2.150955,M35 9BA,In service,Charge Your Car
North Manchester General Hospital,53.520542,-2.243543,M8 4RE,In service,Charge Your Car
Fairfield General Hospital,53.601635,-2.256491,BL9 7TB,In service,Charge Your Car
The Royal Oldham Hospital,53.55227,-2.120017,OL1 2LD,In service,Charge Your Car
Rochdale Infirmary,53.624282,-2.160152,OL12 0NB,In service,Charge Your Car
Media City MSCP (Level 7),53.474102,-2.297635,M50 2EQ,In service,Charge Your Car
Booth Street West MSCP (Ground Floor),53.467362,-2.236971,M15 6PB,In service,Charge Your Car
Trafford General Hospital,53.452091,-2.370709,M41 5SJ,In service,Charge Your Car
John Dalton Car Park (All Saints Campus),53.474251,-2.244031,M1 5GE,In service,Charge Your Car
Stott Lane Car Park,53.486559,-2.322166,M6 8DD,In service,Charge Your Car
Monton Car Park,53.49124,-2.351682,M30 9PY,In service,Charge Your Car
Merchants Quay,53.469931,-2.286684,M50 3XW,In service,Charge Your Car
Blackfriars Road,53.487445,-2.252847,M3 7EE,In service,Charge Your Car
Blackfriars Street,53.482946,-2.255382,M3 5AL,In service,Charge Your Car
Regent Road Car Park,53.385641,-2.352044,WA14 1RY,In service,Charge Your Car
Wythenshawe Forum,53.380537,-2.26451,M22 5RX,In service,Charge Your Car
Abraham Moss Leisure Centre,53.504557,-2.236365,M8 0WR,In service,Charge Your Car
Etihad Stadium,53.484593,-2.202694,M11 3FF,In service,Charge Your Car
Etihad Stadium,53.484593,-2.202694,M11 3FF,In service,Charge Your Car
Etihad Campus - Cycling Centre (Velodrome),53.486391,-2.19684,M11 4DQ,In service,Charge Your Car
Ashton Moss P&R,53.483723,-2.122023,OL6 7UB,In service,Charge Your Car
Rockingham Race Track 1,52.511037,-0.673157,NN17 5AF,In service,Charge Your Car
Rockingham Race Track 2,52.5131,-0.66446,NN17 5AF,In service,Charge Your Car
Rockingham Race Track 3,52.512982,-0.662479,NN17 5AF,In service,Charge Your Car
Rockingham Race Track 4,52.514716,-0.660535,NN17 5AF,In service,Charge Your Car
Sondes Arms Rockingham,52.516439,-0.725042,LE16 8TG,In service,Charge Your Car
Holiday Inn Corby ,52.482572,-0.658863,NN18 8ET,In service,Charge Your Car
Bizzy Bee Buses Corby,52.487085,-0.683184,NN18 8AL,In service,Charge Your Car
Ashbury Chocolates,52.499709,-0.671202,NN17 5XZ,In service,Charge Your Car
Adrenaline Alley Corby,52.50207,-0.644546,NN17 5QW,In service,Charge Your Car
Chequer Mead Car Park,51.125321,-0.004361,RH19 3AZ,In service,Charge Your Car
Horsham District Council Offices Car Park,51.064761,-0.323056,RH12 1RL,In service,Charge Your Car
Horsham District Council Offices Car Park,51.064661,-0.323056,RH12 1RL,In service,Charge Your Car
Chequer Mead Car Park,51.125221,-0.004461,RH19 3AZ,In service,Charge Your Car
Chichester District Council ,50.8346,-0.776618,PO19 1TY,In service,Charge Your Car
Hazelgrove Car Park,50.99746,-0.101599,RH16 3QY,In service,Charge Your Car
Cyprus Road Car Park,50.956943,-0.130699,RH15 8EF,In service,Charge Your Car
Chichester District Council ,50.834749,-0.776618,PO19 1TY,In service,Charge Your Car
Town Hall Multi-Storey Car Park 1,51.116829,-0.183592,RH10 1UZ,In service,Charge Your Car
Town Hall Car Park,50.783073,-0.670373,PO21 1LD,In service,Charge Your Car
Town Hall Multi-Storey Car Park 2,51.116829,-0.183492,RH10 1UZ,In service,Charge Your Car
North Street Car Park,50.918923,-0.453953,RH20 4PA,In service,Charge Your Car
Brooklands,50.820669,-0.33724,BN11 2HP,In service,Charge Your Car
Brooklands,50.820569,-0.33714,BN11 2HP,In service,Charge Your Car
St Martins Car Park,50.810632,-0.5425,BN17 6EU,In service,Charge Your Car
North Street Car Park,50.918823,-0.453953,RH20 4PA,In service,Charge Your Car
Cyprus Road Car Park,50.956843,-0.130799,RH15 8EF,In service,Charge Your Car
Hazelgrove Car Park,50.99756,-0.101499,RH16 3QY,In service,Charge Your Car
St Martins Car Park,50.810632,-0.5425,BN17 6EU,In service,Charge Your Car
Town Hall Car Park,50.783073,-0.670373,PO21 1LD,In service,Charge Your Car
Worthing High Street Multi Storey Car Park,50.812629,-0.368419,BN11 1NY,In service,Charge Your Car
Worthing High Street Multi Storey Car Park,50.812629,-0.368319,BN11 1NY,In service,Charge Your Car
Hartlepool Power Station,54.637585,-1.184721,ES25 2BZ,In service,Charge Your Car
Angus Council Unknown Location,56.635132,-2.919939,DD8 1AX,In service,Charge Your Car
Angus Council Unknown Location,56.635232,-2.919939,DD8 1AX,In service,Charge Your Car
Durham County Hall,54.785272,-1.585156,DH1 5UQ,In service,Charge Your Car
Newcastle Civic Centre Surface,54.978903,-1.610728,NE1 8PP,In service,Charge Your Car
Newcastle Civic Centre Surface,54.978701,-1.610728,NE1 8PP,In service,Charge Your Car
